Pidgey;Normal Flying 
Minior-blue-meteor;Rock Flying 
Minior-indigo-meteor;Rock Flying 
Minior-violet-meteor;Rock Flying 
Minior-red;Rock Flying 
Minior-orange;Rock Flying 
Minior-yellow;Rock Flying 
Minior-green;Rock Flying 
Minior-blue;Rock Flying 
Minior-indigo;Rock Flying 
Minior-violet;Rock Flying 
Rockruff-own-tempo;Rock 
Lycanroc-dusk;Rock 
Dewgong;Water Ice 
Cloyster;Water Ice 
Jynx;Ice Psychic 
Lapras;Water Ice 
Articuno;Ice Flying 
Sneasel;Dark Ice 
Swinub;Ice Ground 
Piloswine;Ice Ground 
Delibird;Ice Flying 
Smoochum;Ice Psychic 
Snorunt;Ice 
Glalie;Ice 
Spheal;Ice Water 
Sealeo;Ice Water 
Walrein;Ice Water 
Regice;Ice 
Snover;Grass Ice 
Abomasnow;Grass Ice 
Weavile;Dark Ice 
Glaceon;Ice 
Mamoswine;Ice Ground 
Froslass;Ice Ghost 
Vanillite;Ice 
Vanillish;Ice 
Vanilluxe;Ice 
Cubchoo;Ice 
Beartic;Ice 
Cryogonal;Ice 
Kyurem;Dragon Ice 
Amaura;Rock Ice 
Aurorus;Rock Ice 
Bergmite;Ice 
Avalugg;Ice 
Crabominable;Fighting Ice 
Rotom-frost;Electric Ice 
Castform-snowy;Ice 
Kyurem-black;Dragon Ice 
Kyurem-white;Dragon Ice 
Abomasnow-mega;Grass Ice 
Glalie-mega;Ice 
Sandshrew-alola;Ice Steel 
Sandslash-alola;Ice Steel 
Vulpix-alola;Ice 
Ninetales-alola;Ice Fairy 
Caterpie;Bug 
Metapod;Bug 
Butterfree;Bug Flying 
Weedle;Bug Poison 
Kakuna;Bug Poison 
Beedrill;Bug Poison 
Paras;Bug Grass 
Parasect;Bug Grass 
Venonat;Bug Poison 
Venomoth;Bug Poison 
Scyther;Bug Flying 
Pinsir;Bug 
Ledyba;Bug Flying 
Ledian;Bug Flying 
Spinarak;Bug Poison 
Ariados;Bug Poison 
Yanma;Bug Flying 
Pineco;Bug 
Forretress;Bug Steel 
Scizor;Bug Steel 
Shuckle;Bug Rock 
Heracross;Bug Fighting 
Wurmple;Bug 
Silcoon;Bug 
Beautifly;Bug Flying 
Cascoon;Bug 
Dustox;Bug Poison 
Surskit;Bug Water 
Masquerain;Bug Flying 
Nincada;Bug Ground 
Ninjask;Bug Flying 
Shedinja;Bug Ghost 
Volbeat;Bug 
Illumise;Bug 
Anorith;Rock Bug 
Armaldo;Rock Bug 
Kricketot;Bug 
Kricketune;Bug 
Burmy;Bug 
Wormadam-plant;Bug Grass 
Mothim;Bug Flying 
Combee;Bug Flying 
Vespiquen;Bug Flying 
Skorupi;Poison Bug 
Yanmega;Bug Flying 
Sewaddle;Bug Grass 
Swadloon;Bug Grass 
Leavanny;Bug Grass 
Venipede;Bug Poison 
Whirlipede;Bug Poison 
Scolipede;Bug Poison 
Dwebble;Bug Rock 
Crustle;Bug Rock 
Karrablast;Bug 
Escavalier;Bug Steel 
Joltik;Bug Electric 
Galvantula;Bug Electric 
Shelmet;Bug 
Accelgor;Bug 
Durant;Bug Steel 
Larvesta;Bug Fire 
Volcarona;Bug Fire 
Genesect;Bug Steel 
Scatterbug;Bug 
Spewpa;Bug 
Vivillon;Bug Flying 
Grubbin;Bug 
Charjabug;Bug Electric 
Vikavolt;Bug Electric 
Cutiefly;Bug Fairy 
Ribombee;Bug Fairy 
Dewpider;Water Bug 
Araquanid;Water Bug 
Wimpod;Bug Water 
Golisopod;Bug Water 
Buzzwole;Bug Fighting 
Pheromosa;Bug Fighting 
Wormadam-sandy;Bug Ground 
Wormadam-trash;Bug Steel 
Pinsir-mega;Bug Flying 
Scizor-mega;Bug Steel 
Heracross-mega;Bug Fighting 
Beedrill-mega;Bug Poison 
Vikavolt-totem;Bug Electric 
Ribombee-totem;Bug Fairy 
Araquanid-totem;Water Bug 
Dratini;Dragon 
Dragonair;Dragon 
Dragonite;Dragon Flying 
Kingdra;Water Dragon 
Vibrava;Ground Dragon 
Flygon;Ground Dragon 
Altaria;Dragon Flying 
Bagon;Dragon 
Shelgon;Dragon 
Salamence;Dragon Flying 
Latias;Dragon Psychic 
Latios;Dragon Psychic 
Rayquaza;Dragon Flying 
Gible;Dragon Ground 
Gabite;Dragon Ground 
Garchomp;Dragon Ground 
Dialga;Steel Dragon 
Palkia;Water Dragon 
Giratina-altered;Ghost Dragon 
Axew;Dragon 
Fraxure;Dragon 
Haxorus;Dragon 
Druddigon;Dragon 
Deino;Dark Dragon 
Zweilous;Dark Dragon 
Hydreigon;Dark Dragon 
Reshiram;Dragon Fire 
Zekrom;Dragon Electric 
Kyurem;Dragon Ice 
Dragalge;Poison Dragon 
Tyrunt;Rock Dragon 
Tyrantrum;Rock Dragon 
Goomy;Dragon 
Sliggoo;Dragon 
Goodra;Dragon 
Noibat;Flying Dragon 
Noivern;Flying Dragon 
Zygarde;Dragon Ground 
Turtonator;Fire Dragon 
Drampa;Normal Dragon 
Jangmo-o;Dragon 
Hakamo-o;Dragon Fighting 
Kommo-o;Dragon Fighting 
Guzzlord;Dark Dragon 
Naganadel;Poison Dragon 
Giratina-origin;Ghost Dragon 
Kyurem-black;Dragon Ice 
Kyurem-white;Dragon Ice 
Charizard-mega-x;Fire Dragon 
Ampharos-mega;Electric Dragon 
Garchomp-mega;Dragon Ground 
Latias-mega;Dragon Psychic 
Latios-mega;Dragon Psychic 
Sceptile-mega;Grass Dragon 
Altaria-mega;Dragon Fairy 
Rayquaza-mega;Dragon Flying 
Salamence-mega;Dragon Flying 
Exeggutor-alola;Grass Dragon 
Zygarde-10;Dragon Ground 
Zygarde-50;Dragon Ground 
Zygarde-complete;Dragon Ground 
Kommo-o-totem;Dragon Fighting 
Necrozma-ultra;Psychic Dragon 
Gastly;Ghost Poison 
Haunter;Ghost Poison 
Gengar;Ghost Poison 
Misdreavus;Ghost 
Shedinja;Bug Ghost 
Sableye;Dark Ghost 
Shuppet;Ghost 
Banette;Ghost 
Duskull;Ghost 
Dusclops;Ghost 
Drifloon;Ghost Flying 
Drifblim;Ghost Flying 
Mismagius;Ghost 
Spiritomb;Ghost Dark 
Dusknoir;Ghost 
Froslass;Ice Ghost 
Rotom;Electric Ghost 
Giratina-altered;Ghost Dragon 
Yamask;Ghost 
Cofagrigus;Ghost 
Frillish;Water Ghost 
Jellicent;Water Ghost 
Litwick;Ghost Fire 
Lampent;Ghost Fire 
Chandelure;Ghost Fire 
Golett;Ground Ghost 
Golurk;Ground Ghost 
Honedge;Steel Ghost 
Doublade;Steel Ghost 
Aegislash-shield;Steel Ghost 
Phantump;Ghost Grass 
Trevenant;Ghost Grass 
Pumpkaboo-average;Ghost Grass 
Gourgeist-average;Ghost Grass 
Hoopa;Psychic Ghost 
Decidueye;Grass Ghost 
Sandygast;Ghost Ground 
Palossand;Ghost Ground 
Mimikyu-disguised;Ghost Fairy 
Dhelmise;Ghost Grass 
Lunala;Psychic Ghost 
Marshadow;Fighting Ghost 
Blacephalon;Fire Ghost 
Giratina-origin;Ghost Dragon 
Aegislash-blade;Steel Ghost 
Pumpkaboo-small;Ghost Grass 
Pumpkaboo-large;Ghost Grass 
Pumpkaboo-super;Ghost Grass 
Gourgeist-small;Ghost Grass 
Gourgeist-large;Ghost Grass 
Gourgeist-super;Ghost Grass 
Gengar-mega;Ghost Poison 
Banette-mega;Ghost 
Sableye-mega;Dark Ghost 
Marowak-alola;Fire Ghost 
Oricorio-sensu;Ghost Flying 
Mimikyu-busted;Ghost Fairy 
Mimikyu-totem-disguised;Ghost Fairy 
Mimikyu-totem-busted;Ghost Fairy 
Marowak-totem;Fire Ghost 
Necrozma-dawn;Psychic Ghost 
Umbreon;Dark 
Murkrow;Dark Flying 
Sneasel;Dark Ice 
Houndour;Dark Fire 
Houndoom;Dark Fire 
Tyranitar;Rock Dark 
Poochyena;Dark 
Mightyena;Dark 
Nuzleaf;Grass Dark 
Shiftry;Grass Dark 
Sableye;Dark Ghost 
Carvanha;Water Dark 
Sharpedo;Water Dark 
Cacturne;Grass Dark 
Crawdaunt;Water Dark 
Absol;Dark 
Honchkrow;Dark Flying 
Stunky;Poison Dark 
Skuntank;Poison Dark 
Spiritomb;Ghost Dark 
Drapion;Poison Dark 
Weavile;Dark Ice 
Darkrai;Dark 
Purrloin;Dark 
Liepard;Dark 
Sandile;Ground Dark 
Krokorok;Ground Dark 
Krookodile;Ground Dark 
Scraggy;Dark Fighting 
Scrafty;Dark Fighting 
Zorua;Dark 
Zoroark;Dark 
Pawniard;Dark Steel 
Bisharp;Dark Steel 
Vullaby;Dark Flying 
Mandibuzz;Dark Flying 
Deino;Dark Dragon 
Zweilous;Dark Dragon 
Hydreigon;Dark Dragon 
Greninja;Water Dark 
Pangoro;Fighting Dark 
Inkay;Dark Psychic 
Malamar;Dark Psychic 
Yveltal;Dark Flying 
Incineroar;Fire Dark 
Guzzlord;Dark Dragon 
Gyarados-mega;Water Dark 
Houndoom-mega;Dark Fire 
Tyranitar-mega;Rock Dark 
Absol-mega;Dark 
Sableye-mega;Dark Ghost 
Sharpedo-mega;Water Dark 
Hoopa-unbound;Psychic Dark 
Rattata-alola;Dark Normal 
Raticate-alola;Dark Normal 
Raticate-totem-alola;Dark Normal 
Meowth-alola;Dark 
Persian-alola;Dark 
Grimer-alola;Poison Dark 
Muk-alola;Poison Dark 
Greninja-battle-bond;Water Dark 
Greninja-ash;Water Dark 
Magnemite;Electric Steel 
Magneton;Electric Steel 
Forretress;Bug Steel 
Steelix;Steel Ground 
Scizor;Bug Steel 
Skarmory;Steel Flying 
Mawile;Steel Fairy 
Aron;Steel Rock 
Lairon;Steel Rock 
Aggron;Steel Rock 
Beldum;Steel Psychic 
Metang;Steel Psychic 
Metagross;Steel Psychic 
Registeel;Steel 
Jirachi;Steel Psychic 
Empoleon;Water Steel 
Shieldon;Rock Steel 
Bastiodon;Rock Steel 
Bronzor;Steel Psychic 
Bronzong;Steel Psychic 
Lucario;Fighting Steel 
Magnezone;Electric Steel 
Probopass;Rock Steel 
Dialga;Steel Dragon 
Heatran;Fire Steel 
Excadrill;Ground Steel 
Escavalier;Bug Steel 
Ferroseed;Grass Steel 
Ferrothorn;Grass Steel 
Klink;Steel 
Klang;Steel 
Klinklang;Steel 
Pawniard;Dark Steel 
Bisharp;Dark Steel 
Durant;Bug Steel 
Cobalion;Steel Fighting 
Genesect;Bug Steel 
Honedge;Steel Ghost 
Doublade;Steel Ghost 
Aegislash-shield;Steel Ghost 
Klefki;Steel Fairy 
Togedemaru;Electric Steel 
Solgaleo;Psychic Steel 
Celesteela;Steel Flying 
Kartana;Grass Steel 
Magearna;Steel Fairy 
Stakataka;Rock Steel 
Wormadam-trash;Bug Steel 
Aegislash-blade;Steel Ghost 
Scizor-mega;Bug Steel 
Mawile-mega;Steel Fairy 
Aggron-mega;Steel 
Lucario-mega;Fighting Steel 
Steelix-mega;Steel Ground 
Metagross-mega;Steel Psychic 
Sandshrew-alola;Ice Steel 
Sandslash-alola;Ice Steel 
Diglett-alola;Ground Steel 
Dugtrio-alola;Ground Steel 
Magearna-original;Steel Fairy 
Togedemaru-totem;Electric Steel 
Necrozma-dusk;Psychic Steel 
Clefairy;Fairy 
Clefable;Fairy 
Jigglypuff;Normal Fairy 
Wigglytuff;Normal Fairy 
Mr mime;Psychic Fairy 
Cleffa;Fairy 
Igglybuff;Normal Fairy 
Togepi;Fairy 
Togetic;Fairy Flying 
Marill;Water Fairy 
Azumarill;Water Fairy 
Snubbull;Fairy 
Granbull;Fairy 
Ralts;Psychic Fairy 
Kirlia;Psychic Fairy 
Gardevoir;Psychic Fairy 
Azurill;Normal Fairy 
Mawile;Steel Fairy 
Mime jr;Psychic Fairy 
Togekiss;Fairy Flying 
Cottonee;Grass Fairy 
Whimsicott;Grass Fairy 
Flabebe;Fairy 
Floette;Fairy 
Florges;Fairy 
Spritzee;Fairy 
Aromatisse;Fairy 
Swirlix;Fairy 
Slurpuff;Fairy 
Sylveon;Fairy 
Dedenne;Electric Fairy 
Carbink;Rock Fairy 
Klefki;Steel Fairy 
Xerneas;Fairy 
Diancie;Rock Fairy 
Primarina;Water Fairy 
Cutiefly;Bug Fairy 
Ribombee;Bug Fairy 
Morelull;Grass Fairy 
Shiinotic;Grass Fairy 
Comfey;Fairy 
Mimikyu-disguised;Ghost Fairy 
Tapu koko;Electric Fairy 
Tapu lele;Psychic Fairy 
Tapu bulu;Grass Fairy 
Tapu fini;Water Fairy 
Magearna;Steel Fairy 
Gardevoir-mega;Psychic Fairy 
Mawile-mega;Steel Fairy 
Floette-eternal;Fairy 
Altaria-mega;Dragon Fairy 
Audino-mega;Normal Fairy 
Diancie-mega;Rock Fairy 
Ninetales-alola;Ice Fairy 
Mimikyu-busted;Ghost Fairy 
Mimikyu-totem-disguised;Ghost Fairy 
Mimikyu-totem-busted;Ghost Fairy 
Magearna-original;Steel Fairy 
Ribombee-totem;Bug Fairy 
Grookey;Grass
Thwackey;Grass
Rillaboom;Grass
Scorbunny;Fire
Raboot;Fire
Cinderace;Fire
Sobble;Water
Drizzile;Water
Inteleon;Water
Blipbug;Bug
Dottler;Bug Psychic
Orbeetle;Bug Psychic
Rookidee;Flying
Corvisquire;Flying
Corviknight;Flying Steel
Skwovet;Normal
Greedent;Normal
Nickit;Dark
Thievul;Dark
Galarian Zigzagoon;Dark Normal
Galarian Linoone;Dark Normal
Obstagoon;Dark Normal
Wooloo;Normal
Dubwool;Normal
Chewtle;Water
Drednaw;Water Rock
Yamper;Electric
Boltund;Electric
Gossifleur;Grass
Eldegoss;Grass
Sizzlipede;Fire Bug
Centiskorch;Fire Bug
Rolycoly;Rock
Carkol;Rock Fire
Coalossal;RockFire
Arrokuda;Water
Barraskewda;Water
Galarian Meowth;Steel
Perrserker;Steel
Milcery;Fairy
Alcremie;Fairy
Applin;Grass Dragon
Flapple;Grass Dragon
Appletun;Grass Dragon
Galarian Farfetch'd;Fighting
Sirfetch'd;Fighting
Galarian Stunfisk;Ground Steel
Galarian Corsola;Ghost
Cursola;Ghost
Impidimp;Dark Fairy
Morgrem;Dark Fairy
Grimmsnarl;Dark Fairy
Hatenna;Psychic
Hattrem;Psychic
Hatterene;Psychic Fairy
Galarian Weezing;Poison Fairy
Cufant;Steel
Copperajah;Steel
Cramorant;Flying Water
Toxel;Electric Poison
Toxtricity;Electric Poison
Silicobra;Ground
Sandaconda;Ground
Galarian Yamask;Ground Ghost
Runerigus;Ground Ghost
Galarian Ponyta;Psychic
Galarian Rapidash;Psychic Fairy
Sinistea;Ghost
Polteageist;Ghost
Indeedee;Psychic Normal
Morpeko;Electric Dark
Falinks;Fighting
Snom;Ice Bug
Frosmoth;Ice Bug
Clobbopus;Fighting
Grapploct;Fighting
Pincurchin;Electric
Galarian Mr. mime;Ice Psychic
Mr. rime;Ice Psychic
Galarian Darumaka;Ice
Galarian Darmanitan;Ice
Stonjourner;Rock
Eiscue;Ice
Duraludon;Steel Dragon
Dracozolt;Electric Dragon
Arctozolt;Electric Ice
Dracovish;Water Dragon
Arctovish;Water Ice
Dreepy;Dragon Ghost
Drakloak;Dragon Ghost
Dragapult;Dragon Ghost
Zacian;Fairy
Zamazenta;Fighting
Eternatus;Poison Dragon
